#Material name, surface folder, Hamaker file, default shape,LJ cutoff
silicaquartz,data/surface/SiO2-Quartz,data/hamaker/SiO2_Quartz.dat,1,1
silicaamorph,data/surface/SiO2-Amorphous,data/hamaker/SiO2_Amorph.dat,1,1
anatase100,data/surface/TiO2-ana-100,data/hamaker/TiO2_Anatase.dat,1,1
anatase101,data/surface/TiO2-ana-101,data/hamaker/TiO2_Anatase.dat,1,1
rutile110,data/surface/TiO2-rut-110,data/hamaker/TiO2_Rutile.dat,1,1
rutile100,data/surface/TiO2-rut-100,data/hamaker/TiO2_Rutile.dat,1,1
fe2o3,data/surface/Fe2O3-001O,data/hamaker/Fe2O3.dat,1,1
CdSe,data/surface/CdSe/Wurtzite/2-10/sca,data/hamaker/CdSe.dat,1,1
gold-fullAA,data/surface/Au/100-FullAA,data/hamaker/Metal.dat,1,1
carbonblack,data/surface/C_amorph-1,data/hamaker/CarbonBlack.dat,1,1
cnt,data/surface/CNT15,data/hamaker/CNTFilm.dat,4,1
cntOH4,data/surface/CNT15-OH-4,data/hamaker/CNTFilm.dat,4,1
cntOH14,data/surface/CNT15-OH-14,data/hamaker/CNTFilm.dat,4,1
cntCOOH3,data/surface/CNT15-COOH-3,data/hamaker/CNTFilm.dat,4,1
cntCOOH30,data/surface/CNT15-COOH-30,data/hamaker/CNTFilm.dat,4,1
cntCOO--3,data/surface/CNT15-COO--3,data/hamaker/CNTFilm.dat,4,1
cntCOO--10,data/surface/CNT15-COO--10,data/hamaker/CNTFilm.dat,4,1
cntNH2-2,data/surface/CNT15-NH2-2,data/hamaker/CNTFilm.dat,4,1
cntNH2-14,data/surface/CNT15-NH2-14,data/hamaker/CNTFilm.dat,4,1
cntNH3+-2,data/surface/CNT15-NH3+-2,data/hamaker/CNTFilm.dat,4,1
cntNH3+-4,data/surface/CNT15-NH3+-4,data/hamaker/CNTFilm.dat,4,1
mwcnt,data/surface/CNT15,data/hamaker/CNTFilm.dat,5,1
mwcntOH4,data/surface/CNT15-OH-4,data/hamaker/CNTFilm.dat,5,1
mwcntOH14,data/surface/CNT15-OH-14,data/hamaker/CNTFilm.dat,5,1
mwcntCOOH3,data/surface/CNT15-COOH-3,data/hamaker/CNTFilm.dat,5,1
mwcntCOOH30,data/surface/CNT15-COOH-30,data/hamaker/CNTFilm.dat,5,1
mwcntCOO--3,data/surface/CNT15-COO--3,data/hamaker/CNTFilm.dat,5,1
mwcntCOO--10,data/surface/CNT15-COO--10,data/hamaker/CNTFilm.dat,5,1
mwcntNH2-2,data/surface/CNT15-NH2-2,data/hamaker/CNTFilm.dat,5,1
mwcntNH2-14,data/surface/CNT15-NH2-14,data/hamaker/CNTFilm.dat,5,1
mwcntNH3+-2,data/surface/CNT15-NH3+-2,data/hamaker/CNTFilm.dat,5,1
mwcntNH3+-4,data/surface/CNT15-NH3+-4,data/hamaker/CNTFilm.dat,5,1
grapheneoxide,data/surface/grapheneoxide,data/hamaker/Graphene.dat,1,1
redgrapheneoxide,data/surface/redgrapheneoxide,data/hamaker/Graphene.dat,1,1
graphene,data/surface/graphene,data/hamaker/Graphene.dat,1,1
bi-graphene,data/surface/bi-graphene,data/hamaker/Graphene.dat,1,1
tri-graphene,data/surface/tri-graphene,data/hamaker/Graphene.dat,1,1
grapheneoxide-hollow,data/surface/grapheneoxide,data/hamaker/Null.dat,1,1
redgrapheneoxide-hollow,data/surface/redgrapheneoxide,data/hamaker/Null.dat,1,1
graphene-hollow,data/surface/graphene,data/hamaker/Null.dat,1,1
bi-graphene-hollow,data/surface/bi-graphene,data/hamaker/Null.dat,1,1
tri-graphene-hollow,data/surface/tri-graphene,data/hamaker/Null.dat,1,1
goldcube,data/surface/Au/100-FullAA,data/hamaker/Metal.dat,3,1
peg-3b,data/surface/PEG-3B,data/hamaker/PEG.dat,1,1.2
peg-plane,data/surface/PEG-Plane,data/hamaker/PEG.dat,1,1.2
Au100,data/surface/Au/100,data/hamaker/Metal.dat,1,1.2
Au110,data/surface/Au/110,data/hamaker/Metal.dat,1,1.2
Au111,data/surface/Au/111,data/hamaker/Metal.dat,1,1.2
Ag100,data/surface/Ag/100,data/hamaker/Metal.dat,1,1.2
Ag110,data/surface/Ag/110,data/hamaker/Metal.dat,1,1.2
Ag111,data/surface/Ag/111,data/hamaker/Metal.dat,1,1.2
Fe100,data/surface/FeFCC100,data/hamaker/Metal.dat,1,1
Fe110,data/surface/FeFCC110,data/hamaker/Metal.dat,1,1
Fe111,data/surface/FeFCC111,data/hamaker/Metal.dat,1,1
Al100,data/surface/AlFCC100,data/hamaker/Metal.dat,1,1
Al110,data/surface/AlFCC110,data/hamaker/Metal.dat,1,1
Al111,data/surface/AlFCC111,data/hamaker/Metal.dat,1,1
graphenecylinder,data/surface/graphene,data/hamaker/CNTFilm.dat,2,1
